"Issue Type","Summary","Description","Priority","Epic Name","Epic Link","Original Estimate"
"Epic","EPIC-1 Product Scope and MVP Readiness","Own MVP scope, feature gating, asset readiness, and product-truth alignment before launch.","Highest","Aegis Product Scope","",""
"Epic","EPIC-2 Transaction Engine","Deliver the backend, execution flow, and transaction state handling required for real routed actions.","Highest","Aegis Transaction Engine","",""
"Epic","EPIC-3 User Portal and Data Layer","Replace mock-driven analytics and history with live indexed data and wallet-first portfolio views.","Highest","Aegis User Portal","",""
"Epic","EPIC-4 QA, Security, and Release Engineering","Create the release, staging, security, and operational controls required for a safe public product.","Highest","Aegis QA Security Release","",""
"Epic","EPIC-5 Post-MVP Growth","Track deferred roadmap work including unified auth, identity, and Risk Oracle 2.0.","Medium","Aegis Post-MVP Growth","",""
"Story","AEGIS-MVP-01 Lock MVP scope and define launch feature flags","Define the exact MVP boundary so unsupported features are not marketed as live. Dependencies: none. Acceptance Criteria: MVP scope approved; each user-facing feature marked live, beta, or post-MVP; route execution go/no-go decision documented; feature-gating plan documented.","Highest","","Aegis Product Scope","2d"
"Task","AEGIS-MVP-02 Remove or relabel mock and hardcoded metrics in production-facing UI","Audit all frontend screens and remove fabricated APY, TVL, yield, and activity metrics unless explicitly labeled as demo data. Dependencies: AEGIS-MVP-01. Acceptance Criteria: no core decision screen shows fake data as live; marketing copy matches shipped feature set; placeholder metrics removed or clearly tagged; product-owner signoff completed.","Highest","","Aegis Product Scope","2d"
"Story","AEGIS-MVP-03 Create supported asset registry and admin bootstrap flow","Create a single source of truth for supported assets, network addresses, decimals, and display metadata. Add an admin/bootstrap script to whitelist supported tokens on the deployed vault. Dependencies: AEGIS-MVP-01. Acceptance Criteria: canonical supported-asset config exists; admin script can add supported tokens; token decimals, symbols, and addresses are validated; frontend config consumes the same registry.","Highest","","Aegis Product Scope","3d"
"Task","AEGIS-MVP-04 Add environment validation and wallet/network guardrails","Prevent invalid deployments and broken frontend flows caused by missing env vars, wrong network, or placeholder addresses. Dependencies: AEGIS-MVP-03. Acceptance Criteria: startup validation fails fast on invalid config; frontend blocks interaction on unsupported network; zero-address and placeholder-address configs are rejected; clear user messaging exists for misconfiguration states.","High","","Aegis Product Scope","2d"
"Story","AEGIS-MVP-05 Build oracle/relay service for aiOracle transaction execution","Create the backend service that owns the AI oracle key and can validate, sign, submit, and track authorized routed transactions. Dependencies: AEGIS-MVP-01. Acceptance Criteria: secure route-execution API exists; service signs and sends authorized transactions in staging; all execution requests are logged with request ID and tx hash; failures are persisted and visible to operators.","Highest","","Aegis Transaction Engine","5d"
"Story","AEGIS-MVP-06 Implement transaction retries, idempotency, and execution state tracking","Make the transaction engine operationally safe by preventing duplicate sends and supporting retries for transient failures. Dependencies: AEGIS-MVP-05. Acceptance Criteria: duplicate execution requests do not create duplicate transactions; retry policy exists; execution status can be queried by request ID; terminal states include submitted, confirmed, failed, and blocked.","Highest","","Aegis Transaction Engine","3d"
"Story","AEGIS-MVP-07 Replace chat route placeholder with real route-execution flow or disable it","The current chat confirm path is a placeholder. Connect it to the real execution flow or disable the confirm action until the backend is ready. Dependencies: AEGIS-MVP-05. Acceptance Criteria: chat confirm action never points to a zero-address placeholder; confirm flow either triggers a real backend request or is disabled behind a feature flag; user sees clear success, failure, and pending feedback; QA signoff covers safe and blocked intent flows.","Highest","","Aegis Transaction Engine","3d"
"Story","AEGIS-MVP-08 Implement one production-safe routed strategy or cut routing from MVP","Resolve the biggest product gap by either implementing one real end-to-end routed action or explicitly shipping MVP without live routed execution. Dependencies: AEGIS-MVP-05, AEGIS-MVP-07. Acceptance Criteria: product decision documented; if included, one routed strategy executes end-to-end in staging; if excluded, route execution UI is feature-gated and messaging updated; launch checklist reflects final product posture.","Highest","","Aegis Transaction Engine","5d"
"Task","AEGIS-MVP-09 Add explorer links and user-visible transaction status handling","Improve user trust by exposing submitted transaction hashes, confirmations, and failure states consistently across deposit, withdrawal, and routed flows. Dependencies: AEGIS-MVP-06. Acceptance Criteria: all submitted transactions display a tx hash; explorer links are available where applicable; pending, confirmed, and failed states are visible in UI; error copy is understandable by end users.","High","","Aegis Transaction Engine","2d"
